,refs
0,
1,
2,"Purpose: This research examines the attitude and behavior of corruption/fraud using the social construct, the theory of fraud triangle, Theory of Planned Behavior, and social psychology."
3,
4,
5,"We want to automatically identify the subset of references in a bibliography that have a central academic influence on the citing paper. For this purpose, we examine the effectiveness of a variety of features for determining the academic influence of a citation."
6,
7,
8,"Here, we present a simple alternative approach to improve the accuracy of citations as a measure of scientific contribution: counting citations in texts."
9,
10,
11,"In this paper, we argue why these requirements should be satisfied and show that current systems do not meet them."
12,
13,
14,
15,"The present paper aims to provide a critical overview of the controversy concerning the interpretation of the theory of wages in classical economists, offering a somewhat unusual perspective. I contend that there are major similarities between the two interpretations that have been regarded as the main contenders, the so-called New view and Fix wage interpretations."
16,
17,
18,
19,
20,Objective: We aimed to validate an administrative case definition for MS and to use this to estimate the incidence and prevalence of MS in Nova Scotia.
21,"We aimed to validate a case definition for MS using administrative health insurance data, and to describe the incidence and prevalence of MS in Manitoba, Canada.We used provincial administrative claims data to identify persons with demyelinating disease using International Classification of Diseases 9/10 codes and prescription claims."
22,This study aimed to systematically review European studies of incidence and prevalence of MS and to provide a quantitative assessment of their methodological quality.
23,"The purpose of this study was to systematically review and assess the quality of studies estimating the incidence and/or prevalence of MS in North, Central and South American regions."
24,This study aimed to systematically review European studies of incidence and prevalence of MS and to provide a quantitative assessment of their methodological quality.
25,
26,Objective To examine mortality and factors associated with survival in a population based multiple sclerosis (MS) cohort.
27,
28,
29,
30,
31,"In this study, we describe the geospatial variation in the incidence of multiple sclerosis (MS) in Manitoba, Canada, and the sociodemographic characteristics associated with MS incidence. This may require an examination of macro-level differences in environmental exposures between high- and low-incidence regions of the world."
32,
33,This case-control study was aimed at identifying environmental risk factors for multiple sclerosis (MS).
34,"In this paper, we examine primarily the effect of other factors on the risk of MS in this cohort and their relation to those previously studied."
35,
36,
37,
38,The focus remains on the objective demonstration of dissemination of lesions in both time and space.
39,The major portion of this study was a review of all the files of neurologists practicing in B.C.
40,"Objective: To describe the regional distribution of multiple sclerosis (MS) prevalence in Canada, controlling for age and sex."
41,
42,
43,
44,"In reaction to Norman's (1999) essay on misuse of the term affordance in human-computer interaction literature, this article is a concept paper affirming the importance of this powerful concept, reinforcing Norman's distinctions of terminology, and expanding on the usefulness of the concepts in terms of their application to interaction design and evaluation."
45,
46,
47,
48,
49,
50,
51,
52,
53,"To help foster the growth of this science, this article illustrates some approaches to answering questions about the role of human factors, and the relative role of different natural factors, for six specific extreme weather or climate events of 2011."
54,
55,
56,This study explores whether early warning could have been provided through knowledge of natural and human-caused climate forcings.
57,
58,
59,"This study examines how counter-terrorism  efforts are underpinned by ill-conceived accounts of radicalisation that pre-emptively  construct Muslim-migrants as a threat to national security, thereby justifying practices  of mass surveillance that further propagate racist discourses of uncertainty and risk."
60,
