,refs
0,"Topics highlighted include the political ecology of the Mayans; the effect of climate on the Roman Empire; the ""revolutionary weather"" of El Nino from 1788 to 1795; twentieth-century social, economic, and political forces in environmental change; scenarios for the future; and the accuracy of such past forecasts as The Limits to Growth."
1,
2,"Integrated records of the co-evolving human-environment system over millennia are needed to provide a basis for a deeper understanding of the present and for forecasting the future. This requires the major task of assembling and integrating regional and global historical, archaeological, and paleoenvironmental records."
3,"In this paper, we bring together and re-evaluate paleoenvironmental, ethnobiological, and archaeological data to reconstruct the related effects of climatic shifts and human adaptations to and alterations of the lowland Maya Forest. We propose that the succeeding period of climatic chaos during the Preclassic period, 4,000-1,750 years ago, provoked the adaptation to settled agrarian life."
4,"By considering diverse ecological phenomena, ranging from biodiversity and biogeochemical cycles to ecosystem resilience to anthropogenic stress, and by examining terrestrial and aquatic ecosystems in temperate to tropical biomes, this article demonstrates the ubiquity and importance of land-use legacies to environmental science and management."
5,"The paper furnishes realizability models of constructive Zermelo-Fraenkel set theory, CZF, which also validate Brouwerian principles such as the axiom of continuous choice (CC), the fan theorem (FT), and monotone bar induction (BIM), and thereby determines the proof-theoretic strength of CZF augmented by these principles."
6,This paper is concerned with metamathematical properties of intuitionistic set theories with choice principles.
7,
8,This we now propose to interpret intuitionistically as an incomplete communication of
9,
10,This investigation is about intuitionistic admissibility and theories of similar strength. There are several more particular goals for this paper. One is just to get some more Kripke models of various set theories out there.
11,"In this paper we shall investigate fragments of Kripke--Platek set  theory with Infinity which arise from the full theory by restricting  Foundation to \Pi n Foundation, where n  2."
12,"This paper, though, is concerned with a rather different interpretation."
13,"The main objective of this paper is to show that a certain formulae-asclasses interpretation based on generalized set recursive functions provides a selfvalidating semantics for Constructive Zermelo-Fraenkel Set theory, CZF."
14,The aim to preserve quantitative relationships between genotypes through PCR places new demands on primers to accurately match target sites and provide short amplicons.
15,
16,
17,
