,refs
0,This model proposes that value change can occur through automatic and effortful routes.
1,"This paper presents a large-scale, comprehensive test of generalized trust across 31 nations."
2,
3,"In this view, a process of generational replacement is responsible for a steady decline of social capital and civic engagement in American society."
4,
5,
6,This study examined the cognitive and emotional reactions of 477 Israeli high school students to the assassination of Prime Minister Yitzhak Rabin (immediately after the event as well as 5 months later) and to a series of terror attacks.
7,
8,
9,
10,
11,
12,"This paper studies what determines group formation and the degree of participation when the population is heterogeneous, both in terms of income and race or ethnicity. We are especially interested in whether and how much the degree of heterogeneity in communities influences the amount of participation in different types of groups."
13,This book brings together a distinguished set of contributors from a variety of disciplines to examine current theories of institutional change.
14,
15,"In this paper, we use the British Household Panel Survey (BHPS) to conceptualise and measure three types of social capital: neighbourhood attachment, social network and civic participation."
16,
17,
18,
19,This article investigates whether the fall in turnout generalises to other forms of political participation and political involvement.
20,
21,"This course will deal with the foundations of social theory, starting with the French and Scottish Enlightenments and the beginnings of a specifically sociological worldview."
22,"This dissertation examines the processes and outcomes of welfare regimes reforms in eleven Latin American countries, between 1980 and 2010. In so doing, it confronts three theoretical goals. Socioeconomic change, fiscal strain, and transnational factors, interact to make the expansion of social protection contingent upon redistributions of burdens and benefits guaranteed to trigger resistance from groups privileged by existing schemes. The strategic challenge for reformist politicians is the crafting of formulas aimed at simultaneously neutralizing potential veto coalitions and mobilizing unprotected populations."
23,
24,
25,
26,"Specifically, this article addresses the question of whether living in an ethnically diverse setting has negative consequences for social cohesion in the Netherlands as well. To further the debate, this article pulls apart various contexts and various dimensions of social cohesion."
27,
28,"This essay shows how a robust civil society helped scuttle the twentieth century's most critical democratic experiment, Weimar Germany."
29,
30,
31,
32,"By combining good historical records of bird introductions with the detailed information available on many other aspects of avian biology, this book advances understanding of the invasion process while also exploring avian conservation biology, and basic principles of ecology and evolution."
33,
34,
35,"Aim  Trait-based risk assessment for invasive species is becoming an important tool for identifying non-indigenous species that are likely to cause harm. Our goal was to test risk assessment performance across a range of taxonomic and geographical scales, at different points in the invasion process, with a range of statistical and machine learning algorithms."
36,Aim    Identifying climatic niche shifts and their drivers is important for the accurate prediction of the risk of biological invasions.
37,
38,
39,"Aim Niche conservatism, or the extent to which niches are conserved across space and time, is of special concern for the study of non-native species as it underlies predictions of invasion risk."
