,refs
0,
1,
2,
3,
4,It is the purpose of this essay to provide an historical overview of the evolution in the concept of HRV.
5,The main aim of the present study was to perform an in-depth assessment of absolute and relative reliability of standard indexes of HRV from short-term laboratory recordings.
6,The present study aimed to investigate the effects of mental arithmetic and sustained attention on respiratory variability.
7,
8,
9,In this study we sought to develop quantitative methods for determining the presence of cardioventilatory coupling in raw heart rate time series.
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,"In this paper, an improved algorithm for the extraction of respiration signal from the electrocardiogram (ECG) in home healthcare is proposed."
20,"The present study was designed to investigate the effect of age upon heart rate variability at rest and in response to a single deep breath, the Valsalva manoeuvre, and standing."
21,This enshrines the low status of the journal and its content. This article develops strategies for improving scientific practices and knowledge accumulation that account for ordinary human motivations and biases.
22,
23,"The aim of the present paper is to review the significance of these parameters, especially in view of their introduction into models, to analyze the causes of their variations in the light of physiological considerations, and finally to provide methodological recommendations for meaningful determinations, and interpretation, of the data resulting from /""versus PS determinations."
24,
25,
26,
27,
28,Understanding phytoplankton competition and species specific ecological strategies is thus of importance for assessing indirect effects of phytoplankton community composition on eutrophication problems. The main objective of this thesis was to describe some basic physiological and ecological characteristics of the main cold-water diatoms and dinoflagellates in the Baltic Sea.
29,
30,"The subject is set in context with a chapter covering the work of Steemann Nielsen, whose work inspired the last 50 years of aquatic productivity studies."
31,
32,
33,
34,
35,
36,
37,"Thus, understanding variation in biomass carbon : nitrogen : phosphorus (C : N : P) stoichiometry is a major priority for integrative biology."
38,
39,
40,
41,
42,"Our model contributes to the understanding of the global cycles of oceanic nitrogen and phosphorus, as well as the elemental ratios of these nutrients in phytoplankton populations."
43,The ecological significance of the physiological difference between these two groups of microalgae is discussed.
44,
45,In this talk I will discuss three patterns found in phytoplankton communities. 2) Temporal patterns: the seasonal succession of species.
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,The aim of this study was to assess OHRQOL outcomes in orthodontics while controlling for individual psychological characteristics.
56,OBJECTIVES The first objective was to assess whether having had orthodontic treatment affected the levels of oral health-related quality of life impacts in Brazilian adolescents. A second objective was to assess the relationship between a normative clinical measure of orthodontic treatment need and two measures of oral health-related quality of life.
57,The purpose of this study was to determine whether the social attractiveness of a child would be influenced by his or her dentofacial appearance.
58,
59,"The aim of this study was to examine the relationships between psychosocial factors and oral health status, health perceptions, and quality of life. These factors are important in understanding how oral health affects young people's daily lives."
60,This cluster-randomized trial aimed to test the effect of an intervention to enhance SOC on OHRQoL in children.
61,"The purpose of this study was to validate the child perception questionnaire (CPQ(11-14)) with a sample of schoolchildren in Greater Manchester, United Kingdom.We made a longitudinal survey of children from 1999 to 2002, using the index of orthodontic treatment need (IOTN) at baseline when the children were 11 to 12 years old, the CPQ(11-14), and their uptake of orthodontic treatment 3 years later.CPQ(11-14) scores corresponded to differences in IOTN scores."
