,refs
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,This study investigates the first stage of the decision-making process of a honeybee swarm as it chooses a nest site: how a scout bee codes the value of a potential nest site in the waggle dances she produces to represent this site.
14,
15,
16,To evaluate the effectiveness of different brief intervention strategies at reducing hazardous or harmful drinking in primary care.
17,This systematic review sought to examine the nature of change in alcohol consumption over time in control groups in brief intervention studies.
18,
19,"Written in a clear and accessible style, the book is intended for applied researchers and students who may not have strong quantitative backgrounds."
