,refs
0,
1,
2,
3,
4,
5,
6,"But if the aim is to measure change in health status, which is often the case in clinical practice, parameters of agreement are preferred."
7,
8,We suggest a new mechanism of collective nest choice: individuals respond to nest quality by the decision either to commit or to seek alternatives.
9,
10,
11,
12,"We investigated how this ability emerges from the behaviors used by ants to recruit nestmates to potential homes. This exemplifies how insect societies can achieve adaptive colony-level behaviors from the decentralized interactions of relatively poorly informed insects, each combining her own limited direct information with indirect cues about the experience of her nestmates."
13,This study views a honey bee swarm as a supraorganismal entity which has been shaped by natural selection to be skilled at choosing a future home site.
14,
15,
16,
17,
18,
19,
