,refs
0,"This dissertation proposes several solutions to the advancement of network analysis theories and methods with specific applications in the domains of social, organizational, and crisis scenarios. In this thesis, I present substantive insights into the application of several network analysis theories and applications to the (1) social, (2) organizational, and (3) crisis response settings. Altogether, this work contributes to the growing literature on the theories and applications of network analysis to real-world social networks."
1,"This paper discusses the relationship between collaboration and co-authorship, the nature of bibliometric data, and exemplifies how they can be refined and used to analyse various aspects of collaboration."
2,
3,"The main objective of the""Adapting Agriculture to Climate Change"" project is to collect and protect the genetic diversity of a portfolio of plants with the characteristics required for adapting the world's most important food crops to climate change. The initiative also aims to make available this diversity in a form that plant breeders can readily use to produce varieties adapted to the new climatic conditions that farmers, particularly in the developing world, are already encountering. This paper serves to inform interested researchers of this important initiative and encourage collaboration under its umbrella."
4,
5,Our knowledge is insufficient to describe the interactions between the components of the Earth system and the relationship between the carbon cycle and other biogeochemical and climatological processes.
6,This paper aims to describe and integrate the process of data analysis in directed qualitative content analysis.
7,
8,"Science mapping aims to build bibliometric maps that describe how specific disciplines, scientific domains, or research fields are conceptually, intellectually, and socially structured. The aim of this article is to review, analyze, and compare some of these software tools, taking into account aspects such as the bibliometric techniques available and the different kinds of analysis."
9,
10,"We suggest that the advent of co-management structures and conscious boundary management that includes knowledge co-production, mediation, translation, and negotiation across scale-related boundaries may facilitate solutions to complex problems that decision makers have historically been unable to solve"
11,"The aim of this study of the global and Australian food systems is to provide  a whole-of-system analysis of food price vulnerabilities, highlighting the key pressure points across the food system through which climate change could potentially have the greatest impact on consumer food prices and the implications for population health. The ultimate objective of this research is to identify the pathways through the food system via which climate change may affect food prices and ultimately population health, thereby providing evidence for food policy which takes into account environmental and health considerations"
12,"Herein we report on themes to integrate the diversity of NACP science and fill significant gaps for understanding and managing the North American carbon cycle: integration among disciplines involving land, atmosphere, and ocean research; strengthening data management infrastructure to support modeling and analysis; identification of study regions that are critical for reducing uncertainties in the North American carbon balance; and integrating biophysical science with the human dimensions of carbon management and decision support."
13,
14,
15,"OBJECTIVE: Although quality assessment is gaining increasing attention, there is still no consensus on how to define and grade postoperative complications."
16,
17,"We aimed to measure the percentages of anatomical coverage of eLNs by comparing four different contouring guidelines.Planning target volumes (PTVs) were contoured using planning computed tomography (CT) scans of 11 patients with PDAC based on the Oxford, RTOG (Radiation Therapy Oncology Group), Michigan, and SCALOP (Selective Chemoradiation in Advanced Localised Pancreatic Cancer trial) guidelines."
18,
19,
20,
21,
22,
23,OBJECTIVE To examine the role of total mesorectal excision in the management of rectal cancer.
24,
25,
26,
27,
28,
29,This review reports on the research done during past years on violations of the fluctuation-dissipation theorem (FDT) in glassy systems. It is focused on the existence of a quasi-fluctuation-dissipation theorem (QFDT) in glassy systems and the current supporting knowledge gained from numerical simulation studies. This review is intended for inexpert readers who want to learn about the basic notions and concepts related to the existence of the QFDT as well as for the more expert readers who may be interested in more specific results.
30,"Here, we propose an alternative exploratory analysis."
31,ABSTRACT:We explore several random phase approximation (RPA) correlation energy variants within the adiabatic-connection fluctuationdissipation theorem approach.
32,
33,In this article we summarise the issues that prompted the revision and the key messages of the new guidance.
34,"This study explored patterns of patients` experiences/bodily knowledge and actions that contribute to well-being and health in chronic illness. This study is the first to examine Bodyknowledging, which is a process that describes the utilization of bodily knowledge to engage in health-related change."
35,
36,
37,
38,
39,"OBJECTIVES This study evaluated the effectiveness (changes in health behaviors, health status, and health service utilization) of a self-management program for chronic disease designed for use with a heterogeneous group of chronic disease patients."
40,
41,"PURPOSE To present the Shifting Perspectives Model of Chronic Illness, which was derived from a metasynthesis of 292 qualitative research studies."
42,
43,
44,
45,
46,It describes a scoping literature review conducted to inform the development of a guide to inform the use of rapid qualitative assessments to strengthen NTD mass drug administration (MDA) programmes.
47,"Objectives.To assess the 1- and 2-year health status, health care utilization and self-efficacy outcomes for the Chronic Disease Self-Management Program (CDSMP)."
