,refs
0,"The objectives of the study were to assess knowledge of epilepsy among traditional healers and to determine the modalities used in the care. Therefore, there is need to improve the knowledge about epilepsy in order to encourage positive attitudes and care."
1,"Discounting is important, but in this paper we emphasise that how one approaches the economics of risk and uncertainty, and how one attempts to model the very closely related issue of low-probability/high-damage scenarios (which we connect to the recent discussion of 'dangerous' climate change), can matter just as much."
2,"The aim of the study was to evaluate adolescent school girls' knowledge, perceptions and attitudes towards STIs/HIV and safer sex practice and sex education and to explore their current sexual behaviour in India.MethodsA cross sectional study was carried out in 2007 in South Delhi, India to investigate the perception, knowledge and attitude of adolescent urban schoolgirls towards sexually transmitted Infections (STIs), HIV/AIDS, safer sex practice and sex education."
3,
4,
5,This paper discusses the necessity of energy storage integration into the electricity supplies with increased renewable energy penetration and how the balancing problem between supply and demand could be solved.
6,
7,
8,
9,
10,"April 1, 2011The 1000 Genomes Project aims to provide a deep characterization of human genome sequence variation as a foundation for investigating the relationship between genotype and phenotype."
11,We propose two novel model architectures for computing continuous vector representations of words from very large data sets.
12,
13,
14,We propose a new approach to estimate variation due to cryptic relatedness and population stratification.
15,This paper proposes and discusses the use of text mining techniques for the extraction of information from clinical records written in Italian.
16,
17,
18,
19,"In doing so they also aim to explain the observed gradient catastrophe for the underlying nonlinear elliptic partial differential equations, and to set forth a detailed, pointwise asymptotic description of the violent oscillations that emerge following the gradient catastrophe. This book, which includes an appendix on the use of the Fredholm theory for Riemann-Hilbert problems in the Holder class, is intended for researchers and graduate students of applied mathematics and analysis, especially those with an interest in integrable systems, nonlinear waves, or complex analysis."
20,
21,Our purpose here is to document the corresponding features of NLS solutions; the rigorous analysis that underlies this paper derives from [1-7] and will appear in the thesis of Lee [8].
22,"As a final goal, a complete architecture that  covers the two tasks is developed to structure the named entities and their relationships from  raw pharmacological texts.This thesis has been supported by:  Pre-doctoral research training scholarship of the Carlos III University of Madrid (PIF UC3M 02-1415) for four years."
23,
24,"In this study, we explored application of Word2Vec and Doc2Vec for sentiment analysis of clinical discharge summaries. We aim to detect if there exists any underlying bias towards or against a certain disease."
25,
26,"In this paper, we propose an unsupervised approach to extracting named entities from biomedical text. We describe a stepwise solution to tackle the challenges of entity boundary detection and entity type classification without relying on any handcrafted rules, heuristics, or annotated data."
27,
28,
29,
30,"When reidentification of individual contributors is possible, the biobank should work to enable the biobank research system to discharge four core responsibilities to (1) clarify the criteria for evaluating findings and the roster of returnable findings, (2) analyze a particular finding in relation to this, (3) reidentify the individual contributor, and (4) recontact the contributor to offer the finding. This article specifies 10 concrete recommendations, addressing new biobanks as well as those already in existence."
31,
32,
33,
34,"Our emphasis on the economic aspect of biobanks allows us to recognize the importance of what we call clinical labor-that is, the regularized, embodied work that members of the national population are expected to perform in their role as biobank participants-in the creation of biovalue through biobanks."
35,
36,
37,
38,"In this work, information theory was employed to characterize the information transmission of a cerebellar granule cell over a region of its excitatory input space following synaptic changes."
39,This endows the cerebellar mossy fibre system with remarkable sensitivity and high fidelity in the transmission of sensory information.
40,"These investigations have highlighted the critical role of Golgi cells in: generating dense clusters of granule cell activity organized in center-surround structures, implementing combinatorial operations on multiple mossy fiber inputs, regulating transmission gain, and cut-off frequency, controlling spike timing and burst transmission, and determining the sign, intensity and duration of long-term synaptic plasticity at the mossy fiber-granule cell relay. This review considers recent advances in the field, highlighting the functional implications of Golgi cells for granular layer network computation and indicating new challenges for cerebellar research."
41,"In this paper, we have performed whole cell patch-clamp recordings of mossy fiber-granule cell LTP in acute rat cerebellar slices and studied its computational implications with a mathematical model."
42,Our main recommendation is to estimate information using the shuffling bias reduction procedure in combination with one of the other four general purpose bias reduction procedures mentioned in the preceding text.
43,"The main tool is in constructing the so-called quasi-Miura transformation of jet coordinates, eliminating an arbitrary deformation of a semisimple bi-Hamiltonian structure of hydrodynamic type (the quasi-triviality theorem)."
44,Our main goal is the comparative study of singularities of solutions to the systems of first order quasilinear PDEs and their perturbations containing higher derivatives. The study is focused on the subclass of Hamiltonian PDEs with one spatial dimension.
45,This paper examines how the role of the university has evolved from performing conventional research and education functions to serving as an innovation-promoting knowledge hub though the case of Georgia Institute of Technology (Georgia Tech). This case is discussed in the context of state efforts to shift the region from an agricultural to an industrial to an innovation-driven economy.
46,
47,"Here we describe and validate an automated brain-mapping framework that uses text-mining, meta-analysis and machine-learning techniques to generate a large database of mappings between neural and cognitive states."
48,"The objectives of the study were to assess knowledge of epilepsy among traditional healers and to determine the modalities used in the care. Therefore, there is need to improve the knowledge about epilepsy in order to encourage positive attitudes and care."
49,
50,"The aim has been to highlight problems particular to the epidemiology, pathophysiology and management of disease endemic in Malta.peer-reviewe"
51,
52,"The aim of the study was to evaluate adolescent school girls' knowledge, perceptions and attitudes towards STIs/HIV and safer sex practice and sex education and to explore their current sexual behaviour in India.A cross sectional study was carried out in 2007 in South Delhi, India to investigate the perception, knowledge and attitude of adolescent urban schoolgirls towards sexually transmitted Infections (STIs), HIV/AIDS, safer sex practice and sex education."
53,
54,"A basic challenge for rational models is thus explaining how optimal solutions can be approximated by psychological processes. We outline a general strategy for answering this question, namely to explore the psychological plausibility of approximation algorithms developed in computer science and statistics."
55,"In this paper, an assessment of the theoretical DR potential in Europe is presented."
56,"We propose a framework for including information-processing bounds in rational analyses. It is an application of bounded optimality (Russell & Subramanian, 1995) to the challenges of developing theories of mechanism and behavior."
57,"This leads to the development of a computational model of word recognition, the Bayesian reader."
58,"This dissertation categorizes and quantifies this compensation by studying the ""flexibility requirements'' imposed by wind and solar generation, approximates the economically optimal capacities of regional wind and solar resources in the grid, and explores the ability of a central utility plant to add a flexible source of demand to the electric grid system. Chapter 5 develops a model for calculating the optimal amount of transmission, wind, and solar capacity that should be built in a grid's different regions."
59,
60,
61,
62,
63,Here we demonstrate that haploinsufficiency of Notch signaling pathway genes in humans can cause this congenital abnormality.
64,
65,
66,
67,
68,We propose a new approach to estimate variation due to cryptic relatedness and population stratification.
69,
70,
71,"This approach is necessary in order to understand the behaviour of individual cells, but it fails to deal with the problem of the relationship of one cell to its neighbours."
72,"This approach differs from traditional methods of investigating human cognition, which focus on identifying the cognitive or neural processes that underlie behavior and therefore concern alternative levels of analysis. One strategy for bridging levels of analysis is to explore cognitive processes that have a direct link to probabilistic inference."
73,"This assumption underlies a new approach to modeling and understanding cognition-cognitively bounded rational analysis-that sharpens the predictive acuity of general, integrated theories of cognition and action."
74,
75,"In this article, we express concern with this interpretation, noting that the free-choice paradigm (FCP) will produce spreading, even if people's attitudes remain unchanged."
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,"The present study was designed to test the following: 1. The author wishes to thank his advisor, Dr. Leon Festinger, for his invaluable aid in the formulation and execution of the study. He also wishes to thank the Laboratory for Research in Social Relations, which supported the study."
89,This study makes a theoretical link between research on inhibitory control and value.
90,
