,refs
0,
1,
2,This fMRI study examined the neural regions mediating the construction and elaboration of past and future events.
3,
4,
5,"In this paper, we investigate the problem of selection bias on six NLSM datasets and find that four out of them are significantly biased."
6,
7,
8,"Here I review research on numerical concepts in the Gray parrot (Psittacus erithacus), demonstrating that at least one subject, Alex, understood number symbols as abstract representations of real-world collections, in ways comparing favorably to those of apes and young human children."
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,I offer desiderata for a proper account of linguistic continuity in order to argue that these previous accounts fall short in important ways.
19,
20,This article traces the development of these ideas and provides a current perspective on how these brain systems operate to support behavior.
21,None
22,
23,
24,"This fundamental behavioral shift is purported to signal a cognitive advance, a possible reorganization of the brain, and the origin of language."
25,"In this paper, we review a number of theories and models that have been developed to explain the evolutionary transition from holistic to combinatorial signal systems, but find that in all problematic linguistic assumptions are made, or crucial components of evolutionary explanations are omitted."
26,
27,
28,"For all of these reasons, we advocate the systematic exploration of rest activity."
29,
30,"This paper aims to highlight: (1) the morphological Danube dynamics together with floods and extreme weather situations in the sixteenth century; (2) the main actors in the trans- formation of the Danube; (3) changes of the river's course from 1550 to 1600/1650 and the consequences for bridging the river and the infrastructure as a whole; (4) the massive engineering measures that were undertaken in order to secure Vienna's requirements in the sixteenth century; (5) the question of floodplain settlements, and (6) the contested use of resources on the Viennese Danube floodplain."
31,
32,None
