,refs
0,This article uses cross-country data to examine the link between a country&apos;s type of political regime and its degree of openness and labor market distortion.
1,
2,This paper studies the relationship between political conflict and economic growth in a simple model of endogenous growth with distributive conflicts.
3,
4,"This paper analyzes the influence of political systems and rights in patterns of agricultural protection across commodities, countries, and over time."
5,"This article extends the political economy framework by indicating how environmental factors (i.e., factors external to a dyad) might influence and affect the structure and processes of the dyad."
6,"I argue in this article that the concept of risk-centered governance is the best theoretical paradigm for understanding health law and the health care system. Rather than focus on doctrinal strands, I argue that scholars should analyze the law of health care as a set of governance practices organized around managing and allocating financial, as well as clinical, risk. The article builds on the egalitarian potential of social insurance as a technology of governance, and argues for filling a gap that exists not only in the current system, but also in all proposals for reform"
7,One of the key goals of political economy is to understand how institutional arrangements shape policy outcomes. This paper studies a comparatively neglected aspect of this - the forces that shape heterogeneous performance of autocracies. The paper looks empirically at spells of autocracy to establish cases where it has been successful according to various objective criteria.
8,We extend this research to examine performance implications of competitive positioning not just among but also within groups.
9,"The study here examines how business actors adapt to changes in networks by analyzing their perceptions or their network pictures. This study analyzes changes in networks in terms of the industrial network approach. This approach sees networks as connected relationships between actors, where interdependent companies interact based on their sensemaking of their relevant network environment. Another major contribution of the study is the analysis of the role that network pictures play in actors' efforts to change their network position. The study develops seven propositions in an attempt to describe the role of network pictures in network change."
10,
11,
12,
13,
14,"(2002b) brought in this concept to emphasise that the network is in fact a varying thing depending on what people see. The question is whether this can be translated into a research device, so that researchers may see in a structured and analytical way what an actor's picture is. The relevance of actors' views to obtain a clearer understanding of organisational networks is highlighted when the relation that is believed to exist between those views and action in organisational networks is addressed. With the aim of developing Network Pictures as research tool a two-stage method is put forward and carried out."
15,
16,The aim of this study is to put forward a Simulated Annealing (SA) procedure for solving the uncapacitated continuous location-allocation problem in the presence of a zone-dependent fixed cost.
17,This paper proposes a perturbation-based heuristic for the capacitated multisource Weber problem.
18,Aims to show the development process of the IMP research and to integrate some of its various themes and findings.
19,
20,
21,
22,
23,"The goal is to cover all given demand points with a minimal amount of additional traveling time, where covering may be defined with respect to an arbitrary norm (or even a gauge)."
24,"In this paper, it is shown that processing costs for the most accurate, heuristic, location-allocation algorithm can be drastically reduced by exploiting the spatial structure of location-allocation problems."
25,"In this survey, we examine an important class of facility location problems known as the multisource Weber  problem (also referred to as the continuous location-allocation problem)."
26,
27,None
28,This paper summarizes and explains the main events of the liquidity and credit crunch in 2007-08.
29,
30,
31,This article focuses upon dynamic aspects of strategic groups in the context of the US insurance industry from 1970-84.
32,The aim of the study was to test the hypothesis that a low-ventilation rate in homes is associated with an increased prevalence of asthma and allergic symptoms among children.
33,
34,
35,"In this report, the third in this Series on health and climate change, we assess the changes in particle air pollution emissions and consequent effects on health that are likely to result from greenhouse-gas mitigation measures in the electricity generation sector in the European Union (EU), China, and India."
36,"The task for companies developing innovative segmentation approaches is to simultaneously enhance the company's understanding of downstream as well as upstream preferences and resources, while going beyond immediate interaction partners to include relevant indirect business partners. The challenge is therefore not to identify attractive customer segments, but attractive network segments."
37,The objective of this study is to quantify the extent to which variation in heating season indoor temperatures is explained by dwelling and household characteristics and increased by energy efficiency improvements in low income households.
38,"This paper analyzes an extensive network trace from a mature 802.11 WLAN, including more than 550 access points and 7000 users over seventeen weeks. This is the largest WLAN study to date, and the first to look at a large, mature WLAN and consider geographic mobility."
39,This paper investigates whether the industrial relations climate in Indian States has affected the pattern of manufacturing growth in the period 1958-92.
40,"This paper analyses the traffic characteristics of, and proposes a traffic model for, the Xbox game Halo 2. Our goal is to help players and network providers to estimate the amount of traffic caused by the game and the impact on access links or provider networks. We focus on the following characteristics: bandwidth, packet rate and distribution of packet inter-arrival times and packet lengths."
41,The immediate goal of these items of legislation was to protect the livelihood of workers and to maintain jobs.
42,This article uses a cross-disciplinary approach to explore whether  these developments from the field of SCM provide insights into key business-to-  business relationships.
43,"One way of doing this is to bring in the role of foreign price competition. Another way is to allow the possibility of saving out of wage income in a closed ""stagnationist"" framework presented here."
44,
45,
46,The importance of specialist employment support of this kind is discussed.
47,"This study aims to assess the cost-effectiveness of interventions to return employees with musculoskeletal disorders to work, one of the major causes of long-term sickness absence, using a mathematical model."
48,"Aims: To explore the impact of moving into employment on service use, earnings, benefits and tax allowances claimed."
49,Aims To investigate the effectiveness and cost-effectiveness of IPS in the UK.
50,
51,
52,
53,
54,
55,This paper presents data collected in New York State that test these propositions and compare the benefits with the costs of operating the supported employment program.
56,
57,
58,
59,
60,"The review focuses predominantly on long-term follow-up research and covers outcome in terms of cognitive, linguistic, academic and adaptive functioning; educational and employment history; independence and social relationships; and behavioural and psychiatric problems."
61,"BACKGROUND The purpose of this study was to examine the effects of a supported employment programme on measures of executive functions for 44 adults with autism, assessed at the beginning and the end of the programme period."
62,"This book deals with decision modelling techniques that can be used to estimate the value for money of various interventions including medical devices, surgical procedures, diagnostic technologies, and pharmaceuticals. This book will help analysts understand the contribution of decision-analytic modelling to the evaluation of health care programmes. This series is aimed at health economists in academia, the pharmaceutical industry and the health sector, those on advanced health economics courses, and health researchers in associated fields."
63,
64,"(2002b) brought in this concept to emphasise that the network is in fact a varying thing depending on what people see. The question is whether this can be translated into a research device, so that researchers may see in a structured and analytical way what an actor's picture is. The relevance of actors' views to obtain a clearer understanding of organisational networks is highlighted when the relation that is believed to exist between those views and action in organisational networks is addressed. With the aim of developing Network Pictures as research tool a two-stage method is put forward and carried out."
65,
66,"The focus of the study is public relations practitioners operating in seven consultancies across the UK, in Manchester, London, Yorkshire and Cheshire."
67,"This survey explored the needs of 143 families supporting an adult with autism and the opportunities afforded them in socialization, employment and residential living."
68,To examine the evidence for the effectiveness of the IPS model of supported employment within the United Kingdom.
69,
70,"Therefore, this study focused on a crucial e-government service, the Taiwan taxation service, to determine whether, in the current era in which people depend highly on network tools to send and receive information, online services are suitable for taxpayers and how to improve the service process. The taxation authority should integrate all online taxation services to achieve the expected public service (one-stop e-government window). This research facilitates relevant government agencies to provide effective e-government services, identify problems, and modify service delivery processes"
71,
72,
73,This CRT approach to education involves a commitment to develop schools that acknowledge the multiple strengths of Communities of Color in order to serve a larger purpose of struggle toward social and racial justice.
74,
75,
76,None
77,This paper groups recent supply chain management research focused on organizational design and its software support.
78,This article contends that the crucial issue in cultural diversity and learning is the relationship between the minority cultures and the American mainstream culture.
79,
80,
81,
82,"The task for companies developing innovative segmentation approaches is to simultaneously enhance the company's understanding of downstream as well as upstream preferences and resources, while going beyond immediate interaction partners to include relevant indirect business partners. The challenge is therefore not to identify attractive customer segments, but attractive network segments."
83,
84,
85,
86,This paper investigates whether the industrial relations climate in Indian States has affected the pattern of manufacturing growth in the period 1958-92.
87,
88,
89,The theme of the new research is that institutions exert a profound influence on economic development.
90,"This study is based on the belief that economic organization is shaped by transaction cost economizing decisions. This approach is based on behavioral assumptions of bounded rationalism and opportunism, which reflect actual human nature. These assumptions underlie the problem of economic organization: to create contract and governance structures that economize on bounded rationality while safeguarding transactions against the hazards of opportunism."
91,This study focuses on organizational efforts to constrain ex post transaction costs in interorganizational exchange.
92,
93,This paper elaborates and provides empirical support for two different approaches to managing the nexus of headquarters subsidiary relations in a multinational corporation (MNC).
94,
95,"This study aims to assess the cost-effectiveness of interventions to return employees with musculoskeletal disorders to work, one of the major causes of long-term sickness absence, using a mathematical model.A Markov model was developed to assess the cost-effectiveness of three interventions: a workplace intervention; a physical activity and education intervention and a physical activity, education and workplace visit intervention."
96,"Aims: To explore the impact of moving into employment on service use, earnings, benefits and tax allowances claimed."
