,refs
0,This work presents the first context-sensitive approach to slice concurrent programs accurately.
1,None
2,
3,"This paper extends the notion of slicing, which was  originally proposed and studied for sequential programs, to  concurrent programs and presents a graph-theoretical approach to  slicing concurrent programs."
4,
5,"This book is an in-depth introduction to Erlang, a programming language ideal for any situation where concurrency, fault tolerance, and fast response is essential."
6,
7,None
8,
9,"Here, six years on, we present an update of that review, assessing how the future of hydrogen has changed with a review of over 30 hydrogen futures studies published between 2006-2011."
10,"It investigates the prospects for accelerated development of a range of low carbon energy supply technologies, and the impact of this acceleration on the decarbonisation of the UK energy system. The report highlights the potentially important role for low carbon supply technology acceleration in the transition to a low carbon energy system in the UK, especially over longer timescales."
11,This paper discusses the market penetration of fuel cell vehicles (FCVs) in Germany from the perspectives of different stakeholders.
12,
13,This paper explores one of the major challenges associated with governance for sustainable development: managing change in a context where power is distributed across diverse societal subsystems and among many societal actors.
14,"In this paper, we examine the experience of Argentina with compressed natural gas. A central objective of this research was to identify lessons that could be useful to developed countries in their efforts to deploy alternative fuel vehicles."
15,tax reductions) to foster natural gas vehicles.
16,"This paper examines the experience of existing alternative fuel vehicle (AFV) programs in the US and China to provide insights into appropriate strategies for developing hydrogen vehicles and infrastructure in China. These policies should draw upon resources from both governments and multinational companies to provide incentives for vehicle purchases, promote investment in infrastructure, and disseminate information to raise public awareness."
17,
18,
19,
20,
21,"Objective The aim of the study was to report on HIV and older people in the European Region, including new data stratified by subregion and year."
22,"We therefore aimed to assess changes over calendar time in the risk for HIV-associated dementia (HIV-D), and factors associated with HIV-D risk.Using Concerted Action on Seroconversion to AIDS and Death in Europe (CASCADE) data, we analyzed factors associated with time from HIV seroconversion to HIV-D using Cox models with time-updated covariates."
23,"With this in mind, this review seeks to explore areas where HIV (diagnosed or undetected) may impact on the work of clinical geriatricians."
24,"Our objective was to provide estimates of and describe factors contributing to direct costs for medical care among HIV-infected patients, focusing on NICM care expenditure.A case-control study analyzing direct medical care costs in 2009."
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,"Given the diversity of topics and methods found in philosophy, however, we propose a different approach. Our answer is that one important aspect of the philosophical temperament is that philosophers are especially reflective: They are less likely than their peers to embrace what seems obvious without questioning it."
37,
38,
39,
40,We advance a new conceptual model of the 2 processing modes.
41,This study is an introduction to dual-process and dual-system theories.
42,
43,
44,
45,
46,
47,
48,"Our study looks at gender representation in philosophy among undergraduate students, undergraduate majors, graduate students, and faculty."
49,This debunking explanation helps resolve philosophical paradoxes about perception (known as 'arguments from hallucination')
50,"In addition to providing information that can be used by professionals in management, psychology, engineering, and other fields, the book presents an overview of the research approach of naturalistic decision making and expands our knowledge of the strengths people bring to difficult tasks."
51,
52,This paper responds to Stich's charge that mindreading is cross-culturally varied in a way that will strip epistemic intuitions of their evidential value.
