,refs
0,
1,
2,
3,
4,
5,
6,
7,
8,The contribution made by Clark's work is to show the range of ways in which cognition exploits bodily and environmental resources.
9,
10,
11,
12,
13,
14,
15,"Part I raises the problems that will shape our investigation of representation. The theme of Chapters 4 to 6 is that a signifier  is only as good as the intelligence which uses it. Part III focuses on the activity of representation. In Chapter 7 a distinction is made between active and passive senses of representation, and arising  out of this distinction we study the particular case of images, considered as a form of representation."
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,The aim of this work is to analyze which technique can provide the best feature selection to capture the commonality across multiple subjects.
30,
31,
32,OBJECTIVE To examine whether sgACC activity is a reliable and robust prognostic outcome marker of CT for depression and whether sgACC activity changes in treatment.
33,
34,
35,"A central goal in neuroscience is to interpret neural activation and, moreover, to do so in a way that captures universal principles by generalizing across individuals. Here, we present a novel and highly accurate solution to this problem, which decodes across subjects between eight different stimulus conditions. The key to finding this solution was questioning the seemingly obvious idea that neural decoding should work directly on neural activation patterns."
36,This systematic review aims to investigate neurobiological changes related to cognitive-behavioral therapy (CBT) in anxiety disorders detected through neuroimaging techniques and to identify predictors of response to treatment.
37,"A common goal of neuroimaging research is to use imaging data to identify the mental processes that are engaged when a subject performs a mental task. In this Perspective, I outline the critique of informal reverse inference and describe a number of new developments that provide the ability to more formally test the predictive power of neuroimaging data"
38,"The goal of the present functional magnetic resonance imaging (fMRI) study, which constitutes the first neuroimaging investigation of the effects of cognitive-behavioral therapy (CBT) using an emotional activation paradigm, was to probe the effects of CBT on the neural correlates of spider phobia."
39,
40,&amp; The ability to cognitively regulate emotional responses to aversive events is important for mental and physical health.
41,
42,
43,AIMS To determine whether there are concomitant brain activation changes as a result of engaging in cognitive remediation therapy (CRT).
44,In attempting to understand the functional substrates of mood we attempted to identify brain regions associated with the cognitive generation of affect in bipolar depressed patients.
45,"This paper reviews functional neuroimaging studies on psychotherapy effects and their methodological background, including the development of symptom provocation techniques."
46,This study sought to identify brain regions that underlie symptom changes in severely affected IBS patients undergoing cognitive therapy (CT).
47,
48,"In this paper, these difficulties are discussed, and strategies and procedures for overcoming them are described."
49,"In this article, the assertion that different psychological therapies are of broadly similar efficacy-often called the 'Dodo Bird Verdict'-is contrasted with the alternative view that there are specific therapies that are more effective than others for particular diagnoses."
50,
51,"The main hypothesis guiding this work is that the carpool formation and use process is sensitive to personal and household characteristics, space, time, travel cost, and workplace TDM policies."
52,This paper summarizes the literature on the effectiveness of employee ridesharing programs.
53,
54,
55,"This paper examines employee's perceptions of their modal choice during the journey to work, and addresses what factors influence modal choice, and whether people can be moved out of their cars to other more sustainable forms of transport."
56,
57,
58,"Such plans seek to reduce trips to work by car by providing, through individual employers, a targeted, integrated package of incentives and disincentives to influence commuters' choice of mode for travel to and from the workplace. This paper makes a critical assessment of the potential of ETPs to reduce trips by car to and from workplaces."
59,
