,refs
0,An integrated diversity antenna based on dual-feed cavity-backed slot is proposed and studied.
1,
2,"This way, the focus of this work is a microstrip patch antenna array design for wireless lan application (2.45 GHz), using the HFSS simulation software and carrying experimental tests out in the electromagnetic compatibility laboratory."
3,
4,None
5,"This paper gives a summary of the syntax and interpretation rules of the proposed international algebraic language put forward by the Zurich ACM-GAMM Conference, followed by a formal , complete presentation of the same information. The proposed language is intended to provide convenient and concise means for expressing virtually all procedures of numerical computation while employing relatively few syntactical rules and types of statement."
6,"The goal of a linguist is to discover grammars that are simple and yet are able to fully span the language. This paper briefly present these three grammars and summarizes Chomsky's analysis and results which state that finite-state grammars are inadequate because they fail to span all possible sentences of the English language, and phrase structure grammar is overly complex."
7,"This review paper summarizes some recent prominent research towards this direction, particularly for speech and language processing."
8,
9,None
10,
11,
12,
13,
14,
15,
16,The emphasis of this volume is on the theoretical issue of whether the attributes that lead to creativity in one domain are the same as those that lead to creativity in another domain.
17,
18,
19,
20,"Laine (1997) suggests that in foreign language classes where there are children who are not motivated and who are low achievers, a story, if it is well-chosen, can help change their attitudes to the language."
21,"Our aim was to develop a social model of genre that generalized across these and other text types (Christie & Martin, 1997; Eggins & Martin, 1997; Martin, 1985/ 1989, 1992; Ventola, 1987), and we appreciated having L&W's work to draw on. One strand was community based and oriented to mapping the repertoire of genres through which people enact their lives. The other strand was school based (Rothery, 1990) and concerned with mapping the repertoire of genres used by students to succeed in school and to redrstribute control of these to students who were not accessing them (Hasan & Williams, 1985/1996; Martin, 1993). Here we were concerned with deconstructing the kinds of narrative students were expected to write and critique (Rothery & Macken, l99l)."
22,
23,
24,
25,"Here, we present a comprehensive study of Malaren, the third largest lake in Sweden."
26,
27,
28,
29,"This paper posits that resilience should be viewed as the ability to ""bounce forward"" and ""move on"" following a disaster (Manyena 2009). It helps us to re-think about the underlying philosophical arguments, particularly those around structure and agency."
30,
31,
32,
33,
34,
35,
36,"This article offers additional support for Hansen's (2012) position that humanism and a renewed respect for human complexity are essential to counseling. In this article, I offer support for Hansen's overall position that humanism has provided a foundational framework for the present and future of professional counseling."
37,
38,Purpose - This article aims to explore the geographic distribution of open access practices in the world from a diffusionist perspective.Design/methodology/approach - The article applies a tempo-spatial analysis to examine the diffusion movement of open access practices from the West to the entire world during the past several decades.
39,In this paper we present the design and performance evaluation of a brokering service that supports at runtime the self-adaptation of composite services offered to several concurrent users with different service levels.
40,Demonstrating this phenonemon is hampered by the difficulty of isolating the effects of time since population divergence vs. gene flow on levels of molecular genetic differentiation.
41,This review outlines the current knowledge of the PLA2 found in the central nervous system and attempts to define the role of PLA2 during both physiologic and pathologic conditions.
42,
43,The paper focuses on the structure of EULERGROMOS and analyses its performance using molecular systems of current interest in the molecular dynamics community.
44,1 Introduction  The purpose of this paper is to examine the practicalities of parallelizing the basic algorithms of molecular dynamics for distributed-memory multiprocessors using annotations to sequential Fortran programs.
45,
46,
47,Objective: Our study aimed to evaluate clinical outcomes of patients transferred to peritoneal dialysis (PD) because of complications related to hemodialysis (HD).
48,
49,"This study analyzes data on patients transferred from their initial modality at the University Hospital Gent between 1978 and 1996 for the reasons for, and outcomes from, the transfer. This is due to the differences in the reasons for transfer, which are PD-related complications in the case of PD patients, and cardiovascular problems in the case of HD patients."
50,
51,
52,This prospective study sought to identify the potential reversibility of oxaliplatin-induced peripheral neuropathy (OXAIPN) by following-up its long-term course 2 years after discontinuation of oxaliplatin (OXA)-based chemotherapy.
