,refs
0,
1,"In this article, the author empirically examines the impact of long-term client relationships on the performance of business service firms."
2,
3,
4,"Purpose - Drawing on resource-advantage theory and a diverse literature base, this article seeks to further the development of the explanatory foundations of relationship marketing theory by proposing, and then providing, tentative answers to three ""why?"""
5,"The hypothesis explored in this paper is that this hierarchy is related to the conceptual accessi-bility of the intended referents of noun phrases that commonly occur in particu-lar relational roles, with relations higher in the hierarchy typically occupied by noun phrases representing more accessible concepts. In this paper we examine one aspect of this mapping process, arguing that an important factor in the assignment of conceptual elements to syntactic roles in the pro-duction of sentences is the ease of representing potential referents in thought, or their conceptual accessibility."
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,"The application of such an approach has the ability to integrate a series of disparate, subsistence- and non-subsistence-related observations regarding Great Basin lifeways and, in so doing, revise our traditional understanding of prehistoric culture change in this region."
20,
21,
22,
23,
24,This study examines two questions: When do firms make greater use of subjectivity in awarding bonuses?
25,"Focusing on performance measures that are linear aggregates enables us to determine the relative weights on the individual signals in the optimal linear aggregate, since these weights are invariant for all realizations of the signals."
26,
27,
28,The objective of this case study was to assess the feasibility of adopting a customer-relationship management strategy which focuses on the maximization of customer loyalty.
29,
30,
31,
32,The role of imperfect information in a principal-agent relationship subject to moral hazard is considered.
33,This study draws on depth interviews with 49 managers in customer firms and 55 managers in supplier firms and on discussions with 21 managers in two focus groups to propose a new way of thinking about customer solutions.
34,This research investigates avenues for differentiation through value creation in business-to-business relationships.
35,
36,
37,This work has focused on risk and incentive factors. This essay is an attempt to predict a firm's choice of compensation method.
38,This research was funded by the Harvard Business School Division of Research.
39,This study examines the determinants of performance measure choices in worker incentive plans.
40,
41,
42,
43,"ThePennsylvania State University is committed to thepolicy that all persons shall have equal access to programs, facilities, admission, and employment Without regard to personal characteristics not related to ability, performance, or qualifications as determined by University policy or by state or federal authorities."
44,
45,This paper explores the combined use of subjective and objective performance measures in (respectively) implicit and explicit incentive contracts.
46,
47,
48,In this chapter we study job design.
49,
50,
51,
52,
53,
54,
55,
56,"In this chapter we develop an integrative, multivariate approach to island colonization in Oceania based on a model from behavioral ecology known as the Ideal Free Distribution."
57,"Here we introduce the term ""tipping element"" to describe large-scale components of the Earth system that may pass a tipping point."
58,
59,This paper asks how much we might be misled by our economic assessment of climate change when we employ a conventional quadratic damages function and/or a thin-tailed probability distribution for extreme temperatures.
60,
61,"This paper presents a novel approach, in which several different impacts of climate change are first assessed by means of a full-fledged computable general equilibrium model of the world economy, then results are interpolated to get a simple relationship of the CCDF type."
62,
63,"This expanded public resource of genome variants in global populations supports deeper interrogation of genomic variation and its role in human disease, and serves as a step towards a high-resolution map of the landscape of human genetic variation."
64,This is an attempt to implement a paper by Mikolov on Nepali words.
65,
66,
67,
68,
69,
70,We seek to expedite evidence synthesis by developing machine learning models to automatically extract sentences from articles relevant to PICO elements.
71,
72,
73,
74,
75,We apply our approach to extract gene expression relationship between genes and brain regions from literature.
76,"This strategy is likely to improve the performance on datasets where there are more unseen gene names, since the CRF+syntax system is substantially better than the HMM-based one on them. The purpose is to provide the systems with training data from the exact domain they would be applied to, which is the full papers rather than their abstracts."
77,
78,"The main objective of this analysis is to define a list of environmental chemicals that are candidates for the U.S. EPA screening and prioritization process, and to catalog the available toxicology information."
79,"In this study, we explored application of Word2Vec and Doc2Vec for sentiment analysis of clinical discharge summaries. We aim to detect if there exists any underlying bias towards or against a certain disease."
80,
81,"In this groundbreaking book, anthropologist Adriana Petryna takes us deep into the clinical trials industry as it brings together players separated by vast economic and cultural differences. Providing a unique perspective on globalized clinical trials, When Experiments Travel raises central questions: Are such trials exploitative or are they social goods?"
82,
83,"When reidentification of individual contributors is possible, the biobank should work to enable the biobank research system to discharge four core responsibilities to (1) clarify the criteria for evaluating findings and the roster of returnable findings, (2) analyze a particular finding in relation to this, (3) reidentify the individual contributor, and (4) recontact the contributor to offer the finding."
84,
85,"Therefore, a central biobank facility at the Radboud university medical center, Nijmegen, the Netherlands, was established to contribute to biomedical research and innovation by creating an infrastructure for collecting, storing and managing biomaterial and associated clinical data. The aim of the Radboud Biobank is to offer researchers an infrastructure wherein sub-collections are professionally secured for the long-term according to high quality standards."
86,"Our emphasis on the economic aspect of biobanks allows us to recognize the importance of what we call clinical labor--that is, the regularized, embodied work that members of the national population are expected to perform in their role as biobank participants--in the creation of biovalue through biobanks."
87,
88,
89,
90,
91,"In this work, information theory was employed to characterize the information transmission of a cerebellar granule cell over a region of its excitatory input space following synaptic changes."
92,This endows the cerebellar mossy fibre system with remarkable sensitivity and high fidelity in the transmission of sensory information.
