,refs
0,
1,
2,
3,
4,
5,
6,
7,Here we characterize the expression and functional activity of B7-H1 expressed on monocytes and dendritic cells (DC) of healthy donors and MS patients.
8,"In this study we examine how Water User Associations in the Eastern Andes of Colombia perceive water scarcity and the relationship between this perception and observed climate, land use, and demographic changes."
9,
10,None
11,
12,
13,Addressing the heterogeneity ofhuman-nature interactions at an intermediate functional
14,
15,"We investigated physiologic, virologic, and immunopathologic responses to experimental RV infection in blood, induced sputum, and bronchial lavage in 10 asthmatic and 15 normal volunteers."
16,
17,
18,"Here, we report up-regulation of PD-1 and PD-L1 in liver biopsies from 32 chronic HBV patients compared to 4 healthy donors."
19,"Here we review how Mtb, HIV, Leishmania sp., and other pathogens manipulate costimulatory molecules to establish chronic infection. This review summarizes the convergent devices that pathogens employ to tune and tame the immune system using costimulatory molecules. Studying host-pathogen interaction in context with costimulatory signals may unveil the molecular mechanism that will help in understanding the survival/death of the pathogens."
20,"In this study, it was found that prior influenza virus infection inhibits murine alveolar macrophage phagocytosis of S. aureus but not of E. coli."
21,
22,We established a mouse model to study postinfluenza pneumococcal pneumonia and evaluated the role of IL-10 in host defense against Streptococcus pneumoniae after recovery from influenza infection.
23,
24,
25,
26,
27,Objectives To estimate the rate of reporting of euthanasia cases to the Federal Control and Evaluation Committee and to compare the characteristics of reported and unreported cases of euthanasia.
28,
29,
30,
31,"These studies aimed to establish NTHi and RSV infections within airway epithelium models, and use them as tools to study pulmonary innate defence mechanisms in order to understand the role of these infections in respiratory disease."
32,
33,"This study investigated whether speech produced in spontaneous interactions when addressing a talker experiencing actual challenging conditions differs in acoustic-phonetic characteristics from speech produced (a) with communicative intent under more ideal conditions and (b) without communicative intent under imaginary challenging conditions (read, clear speech)."
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,The aim of the experiment was to simulate the effect of depth of electrode insertion on identification accuracy.
44,"The purpose of this project was to assess the degree to which a patient, after 1 wk of experience, could adapt to 3.2-mm and 6.8-mm basal shifts in the representation of speech."
45,
46,
47,
48,"This paper explores the relationship between sibship structure and educational outcomes, in the context of theories of dilution of parental time."
49,In this article I intend to describe an issue of the Dutch euthanasia practice that is not common knowledge. This article does not focus on the arguments for or against euthanasia and the ethical justification of physician-assisted dying.
50,"The main aim of this paper is to compare the association of family structure with outcomes for young people in living in the West of Scotland (the Twenty-07 Study, N=1009) with their contemporaries living in Britain (the 1970 British Cohort Study N=11615) in the mid-1980s."
51,
52,Abstract Objective To assess how euthanasia in terminally ill cancer patients affects the grief response of bereaved family and friends.
53,"This study examines which end-of-life decisions (ELDs) Belgian physicians label 'euthanasia', which ELDs they think should be reported and the physician characteristics associated with correct labelling of euthanasia cases, the awareness that they should be reported and the reporting of them."
